Provinsi/Kabupaten/Kota/Indonesia,,
,Persentase penduduk usia 25 Tahun keatas dengan pendidikan SMA ke atas menurut jenis kelamin (Persen),
,Laki-laki,Perempuan
Polewali Mandar,37.73,31.78
Mamasa,39.96,40.38
Mamuju,41.13,33.29
Mamuju Utara / Pasangkayu,35.36,34.11
Mamuju Tengah,33.85,27.8
MALUKU,49.38,47.34
Maluku Tenggara Barat / Kepulauan Tanimbar,44.16,43.16
Maluku Tenggara,44.44,39.45
Maluku Tengah,47.38,45.3
Buru,36.98,36.28
Kepulauan Aru,34.78,36.08
Seram Bagian Barat,41.54,40.69
Seram Bagian Timur,37.34,29.18
Maluku Barat Daya,41.21,32.79
Buru Selatan,33.63,33.96
Kota Ambon,67.05,66
Kota Tual,57.9,47.03
MALUKU UTARA,43.7,38.45
Halmahera Barat,37.08,31.09
Halmahera Tengah,39.5,39.27
Kepulauan Sula,39.53,32.35
Halmahera Selatan,31.97,26.53
Halmahera Utara,38.15,32.2
Halmahera Timur,38.5,30.21
Pulau Morotai,30.65,26.21
Pulau Taliabu,31.38,22.37
Kota Ternate,73.17,67.14
Kota Tidore Kepulauan,46.66,43.94
PAPUA BARAT,56.12,49.64
Fakfak,54.61,56.06
Kaimana,52.74,46.95
Teluk Wondama,42.37,34.29
Teluk Bintuni,56,45.17
Manokwari,56.41,42.47
Sorong Selatan,43.46,27.04
Sorong,47.57,37.33
Raja Ampat,34.09,30.66
Tambrauw,47.88,36.62
Maybrat,57.06,48.34
Manokwari Selatan,48.58,40.84
Pegunungan Arfak,47.26,20.32
Kota Sorong,69.31,70.97
PAPUA BARAT DAYA,-,-
Raja Ampat,-,-
Sorong,-,-
Sorong Selatan,-,-
Maybrat,-,-
Tambrauw,-,-
Kota Sorong,-,-
PAPUA,39.3,32.7
Merauke,52.26,52.55
Jayawijaya,38.72,31.94
Jayapura,62.54,54.14
Nabire,55.68,54.06
Kepulauan Yapen,58.97,45.11
Biak Numfor,58.18,50.03
Paniai,18.89,11.1
Puncak Jaya,23.06,20.92
Mimika,61.81,57.44
Boven Digoel,54.93,47.36
Mappi,41.23,30.21
Asmat,37.81,29.22
Yahukimo,19.3,8.45
Pegunungan Bintang,27.01,10.05
Tolikara,12.52,6.24
Sarmi,52.22,48.9
Keerom,43.27,35.65
Waropen,46.27,38.02
Supiori,48.49,42.03
Mamberamo Raya,42.02,31.46
Nduga,14.86,12.43
Lanny Jaya,26.24,12.69
Mamberamo Tengah,28.78,19.65
Yalimo,20.91,21.79
Puncak,4.66,2.06
Dogiyai,17.1,11.05
Intan Jaya,14.29,2.32
Deiyai,18.52,3.23
Kota Jayapura,73.7,69.7
PAPUA SELATAN,-,-
Merauke,-,-
Boven Digoel,-,-
Mappi,-,-
Asmat,-,-
PAPUA TENGAH,-,-
Mimika,-,-
Dogiyai,-,-
Deiyai,-,-
Nabire,-,-
Paniai,-,-
Intan Jaya,-,-
Puncak,-,-
Puncak Jaya,-,-
PAPUA PEGUNUNGAN,-,-
Nduga,-,-
Jayawijaya,-,-
Lanny Jaya,-,-
Tolikara,-,-
Mamberamo Tengah,-,-
Yalimo,-,-
Yahukimo,-,-
Pegunungan Bintang,-,-
INDONESIA,42.62,37.6
